FID,Site,Sample_Date,Week_Dates,Week,Day,Month,Test,Gene_Copies_per_Liter,Date_Updated
323,Guadalupe,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,1461600,2021/01/28 06:59:59+00
324,TP01,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,732067,2021/01/29 06:59:59+00
325,TP01,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,2576333,2021/02/08 06:59:59+00
326,TP02,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,1388233,2021/02/08 06:59:59+00
327,TP03,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,5000,2021/02/08 06:59:59+00
328,TP04,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,649567,2021/02/08 06:59:59+00
329,TP05,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,97900,2021/02/08 06:59:59+00
330,TP06,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,1612433,2021/02/08 06:59:59+00
331,TP07,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,641133,2021/02/18 06:59:59+00
332,Guadalupe,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,1765467,2021/02/08 06:59:59+00
333,TP01,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,1424500,2021/02/18 06:59:59+00
334,TP02,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,1887567,2021/02/18 06:59:59+00
335,TP03,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,5000,2021/02/18 06:59:59+00
336,TP04,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,830933,2021/02/18 06:59:59+00
337,TP05,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,718333,2021/02/18 06:59:59+00
338,TP06,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,1074500,2021/02/18 06:59:59+00
339,TP07,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,395100,2021/02/18 06:59:59+00
340,Guadalupe,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,933033,2021/02/18 06:59:59+00
341,TP01,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,276200,2021/02/19 06:59:59+00
342,TP02,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,790500,2021/02/19 06:59:59+00
343,TP03,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,5000,2021/02/19 06:59:59+00
344,TP04,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,5000,2021/02/19 06:59:59+00
345,TP05,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,447200,2021/02/19 06:59:59+00
346,TP06,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,317400,2021/02/19 06:59:59+00
347,TP07,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,351667,2021/02/19 06:59:59+00
348,Guadalupe,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,453900,2021/02/19 06:59:59+00
349,,,,,,,,,
350,,,,,,,,,
351,,,,,,,,,
352,,,,,,,,,
