FID,Site,Sample_Date,Week_Dates,Week,Day,Month,Test,Gene_Copies_per_Liter,Date_Updated
192,TP06,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,2024833,2020/10/09 06:59:59+00
193,TP07,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,576200,2020/10/09 06:59:59+00
194,Guadalupe,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,601900,2020/10/09 06:59:59+00
195,TP01,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
196,TP02,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,166200,2020/10/16 06:59:59+00
197,TP03,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
198,TP04,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
199,TP05,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
200,TP06,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,274633,2020/10/16 06:59:59+00
201,TP07,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
202,Guadalupe,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
203,TP01,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
204,TP02,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,30433,2020/10/19 06:59:59+00
205,TP03,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
206,TP04,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
207,TP05,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
208,TP06,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,92200,2020/10/19 06:59:59+00
209,TP07,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
210,Guadalupe,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,149333,2020/10/19 06:59:59+00
211,TP01,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,5000,2020/11/02 06:59:59+00
